source_id,citation,source_type,evidence_type,source_file,page_ref,institutional_dimension,organizational_mechanism,outcome_dimension,geography,claim_summary,evidence_excerpt,direction,confidence,verification_status,notes
acemoglu_johnson_2023,"Acemoglu, D., & Johnson, S. (2023). Power and Progress.",book/theory,theory,,,governance,not_applicable,distribution_of_gains,general,Technological gains are shaped by institutional and political choices rather than automatically shared.,,contextual,stronger,draft,Use to support non-deterministic framing and distributional outcomes.
jungherr_2026,Jungherr (2026). How Artificial Intelligence Shapes Social Change.,working paper,theory,docs/sources/Jungherr - How Artificial Intelligence Shapes Social Change - Working Paper.pdf,1,governance,organizational_adoption,employment,general,"AI-enabled social change is contingent, stepwise, and mediated through institutions and organizations.","This article argues that polarized expectations about AI obscure how technologies actually shape societies and conceptualizes AI impact as contingent, stepwise, and mediated through adoption, power, governance, and structural constraints.",contextual,stronger,excerpt_verified,Source file and excerpt added from extracted PDF text.
altman_schrag_2025,"Altman, E. J., & Schrag, E. (2025). Workforce Development Policy in the US: Context and Landscape. Brookings.",policy/research report,qualitative finding,docs/sources/Workforce Development Policy in the US_Brookings.pdf,1,workforce_development,retraining,redeployment,united_states,Workforce development systems shape how workers adapt to technological and structural labor-market change.,"The paper defines workforce development as activities and funding mechanisms that aim to increase workers skills and help them succeed in the labor market, focusing on training outside K-12, traditional four-year college, and professional degrees.",improves,moderate,excerpt_verified,Source file and excerpt added from extracted PDF text.
oecd_ai_exposure_2026,OECD (2026). The OECD AI exposure measure: Mapping the OECD AI Capability Indicators to occupations.,working paper/report,quantitative baseline,docs/sources/The OECD Exposure Measure.pdf,14,not_applicable,not_applicable,employment,oecd,"OECD AI exposure and capability-gap measures identify proximity between AI capabilities and occupational requirements, but do not predict realized labor-market outcomes.","The report states that the measure should not be interpreted as a direct prediction of job loss, firm adoption, or speed of occupational change.",contextual,stronger,excerpt_verified,"Use as exposure baseline only; outcomes still depend on institutions, adoption, and organizational design."
felten_raj_seamans_2021,"Felten, E., Raj, M., & Seamans, R. (2021). Occupational, industry, and geographic exposure to artificial intelligence. Strategic Management Journal, 42(12), 2195-2217.",academic article/dataset,quantitative baseline,docs/sources/Strategic Management Journal - 2021 - Felten - Occupational  industry  and geographic exposure to artificial intelligence  1.pdf,1,not_applicable,not_applicable,employment,united_states,AIOE provides occupation-level AI exposure scores that can be used as baseline exposure indicators rather than realized labor-market outcomes.,"The article creates and validates AI Occupational Exposure (AIOE), an occupation-level AI exposure measure, then uses it to construct industry-level and geographic exposure measures.",contextual,stronger,excerpt_verified,Article PDF is now in docs/sources. The usable dataset remains data/raw/aioe/AIOE-main/AIOE_DataAppendix.xlsx.
brookings_workforce_development_us,Brookings. Workforce development policy in the United States.,policy/research report,policy description,docs/sources/Workforce Development Policy in the US_Brookings.pdf,2,workforce_development,retraining,redeployment,united_states,"U.S. workforce development includes federal, state, sectoral, and place-based programs, creating a fragmented but policy-relevant retraining landscape.","The report analyzes federal workforce development programs and selected state strategies, and identifies a shift toward sectoral approaches catalyzed by federal investments.",mixed,moderate,excerpt_verified,Kept as a distinct U.S. policy-landscape row; altman_schrag_2025 covers the general definition of workforce development.
nyc_career_pathways,NYC Mayor's Office. Career Pathways / Our Strategy.,government/policy document,policy description,data/raw/policy/us_nyc/Our Strategy - NYC Career Pathways.pdf,1,workforce_development,skill_investment,mobility,nyc,"NYC workforce strategy links employer-facing skills development, job quality, and system coordination to upward mobility.","The strategy names three policy areas: building skills employers seek, improving job quality, and increasing system and policy coordination.",improves,moderate,excerpt_verified,Use for NYC case preset and local workforce-development dimension.
ny_fed_retrainable_ai_workers,Federal Reserve Bank of New York. How Retrainable Are AI-Exposed Workers?,research report,empirical association,data/raw/policy/us_nyc/How Retrainable Are AI-Exposed Workers? - FEDERAL RESERVE BANK of NEW YORK.pdf,2,workforce_development,retraining,redeployment,united_states,"Retraining returns for AI-exposed workers are positive but uneven, so AI exposure alone is insufficient for judging transition outcomes.","The paper finds high average earnings returns to training among AI-exposed workers, while returns vary by exposure and training target.",contextual,moderate,excerpt_verified,Useful for rules where retraining capacity moderates AI exposure risk.
cuf_automation_nyc,Center for an Urban Future. Work to Do: How Automation Will Transform Jobs in NYC.,policy/research report,case evidence,data/raw/policy/us_nyc/Work to Do: How Automation Will Transform Jobs in NYC | Center for an Urban Future (CUF).pdf,3,workforce_development,job_redesign,displacement,nyc,Automation exposure in NYC does not translate mechanically into job loss; some jobs may change by requiring more technical skills.,"The report cautions that automation potential does not mean equivalent job disappearance, and notes that some jobs will require more technical skills.",increases_risk,moderate,excerpt_verified,Use to reinforce directional scenario logic rather than deterministic automation claims.
govsg_ai_transition_workers,Gov.sg. How Singaporean workers are supported through the AI transition.,government explainer,policy synthesis,data/raw/policy/singapore/How Singaporean Workers Are Supported Through the AI Transition | gov.sg.pdf,2,workforce_development;social_protection,retraining;career_mobility,mobility,singapore,"Singapore presents AI transition support as job redesign, job matching, reskilling, and movement into higher-value tasks.","The explainer says firms are redesigning roles, shifting workers toward higher-value tasks, and using job matching and reskilling support.",improves,moderate,excerpt_verified,Kept because it links Singapore AI adoption directly to worker-facing transition supports.
