rule_id,rule_name,applies_when,geography,primary_outcome,secondary_outcomes,outcome_tendency,confidence,work_design_pattern,narrative_template,evidence_ids,notes
rule_exposure_baseline_not_prediction,AI exposure is a baseline not a forecast,"occupation has low/medium/high AI exposure",general,employment,,contextual,stronger,baseline_only,"AI exposure indicates where AI capabilities are close to occupational requirements, but it does not determine job loss, adoption speed, or realized labor outcomes.",oecd_ai_exposure_2026;felten_raj_seamans_2021;jungherr_2026,"Use before any scenario output so users understand exposure is held constant."
rule_strong_training_redeployment,Strong workforce development improves redeployment capacity,"workforce_development=strong OR retraining_commitment=broad",general,redeployment,skill_accumulation,improves,moderate,retraining_supported_transition,"When workforce development and retraining capacity are strong, exposed workers are more likely to have pathways into adjacent or AI-intensive roles.",altman_schrag_2025;brookings_workforce_development_us;ny_fed_retrainable_ai_workers,"Directional, not a guarantee of individual transition success."
rule_weak_training_displacement_risk,Weak retraining raises displacement risk,"ai_exposure=high AND retraining_commitment=none_or_selective AND workforce_development=weak",general,displacement,redeployment,increases_risk,moderate,unsupported_transition,"High AI exposure becomes riskier when workers have limited retraining or mobility support, especially where task change requires new technical skills.",ny_fed_retrainable_ai_workers;cuf_automation_nyc;oecd_ai_exposure_2026,"Use as risk tendency, not predicted layoffs."
rule_worker_voice_job_quality,Worker voice improves AI job quality,"worker_participation=high OR collective_bargaining=strong OR ai_governance=co_governed",general,job_quality,distribution_of_gains,improves,moderate,participatory_augmented_work,"Worker participation, bargaining, and co-governance make it more likely that AI systems are implemented with attention to autonomy, transparency, and working conditions.",frontiers_human_centered_ai_employee_participation_2024;social_dialogue_algorithmic_transparency_2025;social_dialogue_labor_empowering_ai_2025,"Especially important for algorithmic management scenarios."
rule_algorithmic_management_job_quality_risk,Opaque algorithmic management lowers job quality,"deployment_strategy=automation_first AND worker_participation=low AND ai_governance=weak",general,job_quality,,increases_risk,moderate,opaque_algorithmic_control,"When AI is deployed through opaque monitoring, scheduling, performance management, or automated decision systems, job quality risks increase.",algorithms_as_work_designers_2021;social_dialogue_algorithmic_management_impacts_2025;etui_algorithmic_management_collective_bargaining_2021;uni_algorithmic_management_collective_action,"Use for surveillance/control-heavy organizational posture."
rule_augmentation_task_allocation_productivity,Well-designed augmentation supports productivity and trust,"deployment_strategy=augmentation AND human_oversight=high AND task_allocation=clear",general,productivity,job_quality,improves,stronger,complementary_human_ai_team,"Clear task allocation, human oversight, contextual communication, and alignment with human intent make augmentation more likely to improve performance and trust.",puranam_human_ai_org_design;jain_garg_khera_hai_work_design;senjic_bitsch_braun_2026_task_allocation;senjic_bitsch_braun_2026_trust_transparency,"This is the core derived human-AI work design rule."
rule_meaningful_work_agency_risk,Automating meaningful tasks can reduce agency,"deployment_strategy=automation_first AND worker_participation=low AND task_meaning=high",general,job_quality,skill_accumulation,increases_risk,limited,meaning_eroding_automation,"If AI targets tasks workers associate with autonomy, satisfaction, or meaning, automation-first design may reduce job quality even when efficiency improves.",ranjit_zhou_swayamdipta_quercia_2026_worker_agency;mit_ai_work_redesign_playbook,"Keep confidence limited because the newer source is emerging evidence."
rule_worker_centered_redesign,Worker-centered redesign protects autonomy and learning,"deployment_strategy=augmentation AND worker_participation=high AND skill_investment_horizon=long",general,job_quality,skill_accumulation,improves,moderate,worker_centered_redesign,"When workers help shape AI implementation and redesign focuses on meaningful tasks and skills, AI adoption is more likely to preserve autonomy and support learning.",mit_ai_work_redesign_playbook;ranjit_zhou_swayamdipta_quercia_2026_design_contingency;frontiers_human_centered_ai_employee_participation_2024,"Use for high-participation organizational posture."
rule_social_dialogue_training,Social dialogue supports training commitments,"collective_bargaining=strong AND workforce_development=moderate_or_strong",general,skill_accumulation,redeployment,improves,moderate,negotiated_training_transition,"Social dialogue can turn AI transition into negotiated training, lifelong learning, and redeployment commitments rather than leaving adjustment to individual workers.",social_dialogue_training_lifelong_learning_ai_2025;social_dialogue_ai_transition_redeployment_2024,"Can apply beyond Europe, with case-specific caution."
rule_productive_constraints_distribution,Productive constraints shape distribution of gains,"collective_bargaining=strong OR employment_protection=moderate_or_strong",general,distribution_of_gains,job_quality,improves,moderate,constrained_high_road_ai,"Minimum standards and collective bargaining can discourage low-road automation strategies and support investment in skills, participation, and shared gains.",social_dialogue_productive_constraints_2025;social_dialogue_augmenting_ai_productivity_2025,"Good bridge between institutional theory and scenario outputs."
rule_singapore_tripartite_transition,Singapore preset supports managed AI transition,"geography=singapore AND tripartite_coordination=strong",singapore,redeployment,skill_accumulation,improves,moderate,tripartite_workforce_transformation,"Singapore's tripartite approach links AI adoption with workforce transformation, training, targeted transition support, job redesign, and AI readiness tools.",singapore_tjc_coordinated_ai_transition_2026;singapore_tjc_job_redesign_reskilling_2026;singapore_skillsfuture_ai_readiness_2026;singapore_skillsfuture_wsg_reskilling_2025,"Use as case preset, not as a universal rule."
rule_singapore_employer_incentives_wages,Singapore employer incentives can support wage outcomes,"geography=singapore AND employer_retraining_incentives=high AND job_redesign=active",singapore,wages,job_quality,improves,moderate,incentivized_job_redesign,"Where workforce-transformation grants tie business redesign to workforce outcomes, AI adoption is more likely to be linked with wage growth, retention, and capability building.",singapore_wdg_wage_retention_2026;singapore_tjc_job_redesign_reskilling_2026,"Narrow case-specific wage rule."
rule_denmark_flexicurity_reallocation,Denmark preset supports labor reallocation,"geography=denmark AND social_protection=strong AND active_labor_market_policy=strong",denmark,mobility,redeployment,improves,stronger,flexicurity_supported_reallocation,"Denmark's combination of labor-market flexibility, social protection, active training, and collective bargaining can support reallocation under AI exposure.",kreiner_svarer_2022_flexicurity;denmark_unemployment_benefit_security_2022;imf_denmark_ai_labor_2025,"Still include risk language for high-exposure low-complementarity groups."
rule_denmark_social_dialogue_ai_governance,Denmark preset uses social dialogue for workplace AI,"geography=denmark AND collective_bargaining=strong",denmark,job_quality,wages,contextual,moderate,collectively_governed_ai_work,"Denmark is a useful case for exploring how industrial relations and social dialogue can shape AI and algorithmic management at work.",denmark_ai_collective_bargaining_sdu_2026;denmark_collective_bargaining_labor_conditions_2022,"The SDU row is based on a publication record, so avoid overclaiming."
rule_nyc_skills_job_quality_pathways,NYC preset emphasizes skills and job quality,"geography=nyc AND workforce_development=moderate_or_strong",nyc,mobility,job_quality,improves,moderate,career_pathway_redesign,"NYC workforce strategy connects employer-informed skills, job quality, career pathways, and system coordination as supports for upward mobility.",nyc_career_pathways;cuf_automation_nyc,"Use with local occupation and wage data from BLS/OEWS later."
rule_human_oversight_regulation,Human oversight requirements reduce harmful AI deployment risk,"ai_governance=rights_based OR human_oversight=required",general,job_quality,employment,decreases_risk,moderate,rights_based_human_oversight,"Rules requiring human oversight of AI-based workplace decisions make it less likely that consequential decisions are fully delegated to opaque automated systems.",eu_ai_act_high_risk_requirements_2024;social_dialogue_labor_empowering_ai_2025;senjic_bitsch_braun_2026_trust_transparency;algorithms_as_work_designers_2021,"Governance rule now anchored in primary EU AI Act requirements plus labor-focused sources."
rule_algorithmic_transparency_information_rights,Algorithmic transparency supports worker voice,"algorithmic_transparency=strong OR worker_information_rights=strong",general,job_quality,distribution_of_gains,decreases_risk,moderate,transparent_algorithmic_management,"Transparency and information rights help workers and representatives understand, contest, and govern AI systems that affect hiring, scheduling, evaluation, layoffs, and working conditions.",eu_ai_act_high_risk_requirements_2024;oecd_ai_principles_implementation_2023;social_dialogue_algorithmic_transparency_2025;etui_algorithmic_management_collective_bargaining_2021;uni_algorithmic_management_collective_action,"This should become a visible institutional control or sub-control under AI governance."
rule_data_protection_bias_safeguards,Data protection and bias safeguards reduce workplace AI harms,"data_protection=strong AND anti_discrimination_rules=strong",general,job_quality,employment,decreases_risk,moderate,accountable_ai_management,"Data protection, bias safeguards, and risk assessment requirements can reduce harms from AI systems used in management, hiring, evaluation, and worker profiling.",eu_ai_act_employment_high_risk_2024;nist_ai_rmf_core_2023;oecd_due_diligence_responsible_ai_2026;social_dialogue_labor_empowering_ai_2025;etui_algorithmic_management_collective_bargaining_2021;frontiers_human_centered_ai_employee_participation_2024,"Could later split into separate data rights and anti-discrimination rules if the app needs more granularity."
rule_worker_consultation_ai_adoption,Consultation rights shape AI adoption before deployment,"worker_consultation_rights=strong AND ai_adoption_stage=pre_deployment",general,job_quality,skill_accumulation,improves,moderate,consultative_ai_adoption,"When workers or representatives are consulted before AI adoption, organizations are more likely to surface job-quality, skills, privacy, and implementation risks early.",oecd_due_diligence_responsible_ai_2026;oecd_ai_principles_implementation_2023;frontiers_human_centered_ai_employee_participation_2024;social_dialogue_algorithmic_transparency_2025;mit_ai_work_redesign_playbook,"Important process rule: it affects how organizational decisions are made, not only outcomes after deployment."
rule_social_protection_transition_buffer,Social protection buffers transition risk,"social_protection=strong AND ai_exposure=high",general,mobility,redeployment,improves,stronger,socially_buffered_transition,"Income security and transition supports can give workers more room to move between jobs, participate in training, and adapt to AI-related occupational change.",kreiner_svarer_2022_flexicurity;denmark_unemployment_benefit_security_2022;imf_denmark_ai_labor_2025,"Most strongly supported by Denmark evidence; use generally with lower confidence outside similar institutions."
rule_employer_retraining_incentives,Employer retraining incentives tie AI adoption to worker outcomes,"employer_retraining_incentives=high AND job_redesign=active",general,skill_accumulation,wages,improves,moderate,incentivized_workforce_transformation,"When public policy or funding incentives tie AI adoption to job redesign, reskilling, retention, or wage outcomes, firms have stronger reasons to invest in worker adaptation.",oecd_ai_principles_implementation_2023;singapore_wdg_wage_retention_2026;singapore_tjc_job_redesign_reskilling_2026;singapore_skillsfuture_ai_readiness_2026,"Currently strongest as Singapore evidence; OECD principles implementation gives the broader policy frame."
